Event name,Type,System/Custom,Status,DRP,This month,Last month,Data points,Created on,Property name,Type,Status,Required,Data type,Data type fallback,Data points,Masked,Created on,Campaign Count,Campaign IDs,Journey Count,Journey IDs,Segment Count,Segment IDs
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",wzrk_id,Defined,Active,No,Mixed,Allow property,0,No,"Jan 10, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",Campaign id,Defined,Active,No,Mixed,Allow property,0,No,0,,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",Campaign type,Defined,Active,No,Mixed,Allow property,0,No,"Jan 10, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",wzrk_dl,Defined,Active,No,Mixed,Allow property,0,No,"Jan 25, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",wzrk_cts,Defined,Active,No,Mixed,Allow property,0,No,"Jan 25, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",wzrk_rnv,Defined,Active,No,Mixed,Allow property,0,No,"Jan 25, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",wzrk_dt,Defined,Active,No,Mixed,Allow property,0,No,"Jan 25, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",Variant,Defined,Active,No,Mixed,Allow property,0,No,"Jan 25, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",wzrk_acct_id,Defined,Active,No,Mixed,Allow property,0,No,"Jan 25, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",CT App Version,Defined,Active,No,Mixed,Allow property,0,No,"Jan 25, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",CT Source,Defined,Active,No,Mixed,Allow property,0,No,"Jan 25, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",wzrk_pn_h,Defined,Active,No,Mixed,Allow property,0,No,"Feb 01, 2024",,,,,,
UTM Visited,Defined,System,Active,1116,58790,88398,99594,"Jan 10, 2024",wzrk_push_amp,Defined,Active,No,Mixed,Allow property,0,No,"Feb 01, 2024",,,,,,
